nohup: ignoring input
INFO:albumentations.check_version:A new version of Albumentations is available: 1.4.20 (you have 1.4.12). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.

  0%|          | 0/67 [00:00<?, ?it/s]
[Epoch 1]:   0%|          | 0/67 [00:27<?, ?it/s]
[Epoch 1]:   1%|▏         | 1/67 [00:29<32:45, 29.78s/it]
[Epoch 1]:   1%|▏         | 1/67 [00:29<32:45, 29.78s/it, Cls loss=0.818, Angle loss=7.39, IoU loss=3.03]
[Epoch 1]:   1%|▏         | 1/67 [00:29<32:45, 29.78s/it, Cls loss=0.818, Angle loss=7.39, IoU loss=3.03]
[Epoch 1]:   3%|▎         | 2/67 [00:31<14:16, 13.18s/it, Cls loss=0.818, Angle loss=7.39, IoU loss=3.03]
[Epoch 1]:   3%|▎         | 2/67 [00:31<14:16, 13.18s/it, Cls loss=0.907, Angle loss=6.73, IoU loss=3.2] 
[Epoch 1]:   3%|▎         | 2/67 [00:31<14:16, 13.18s/it, Cls loss=0.907, Angle loss=6.73, IoU loss=3.2]
[Epoch 1]:   4%|▍         | 3/67 [00:32<08:19,  7.80s/it, Cls loss=0.907, Angle loss=6.73, IoU loss=3.2]
[Epoch 1]:   4%|▍         | 3/67 [00:32<08:19,  7.80s/it, Cls loss=0.87, Angle loss=4.84, IoU loss=2.81]
[Epoch 1]:   4%|▍         | 3/67 [00:32<08:19,  7.80s/it, Cls loss=0.87, Angle loss=4.84, IoU loss=2.81]
[Epoch 1]:   6%|▌         | 4/67 [00:33<05:24,  5.16s/it, Cls loss=0.87, Angle loss=4.84, IoU loss=2.81]
[Epoch 1]:   6%|▌         | 4/67 [00:33<05:24,  5.16s/it, Cls loss=0.895, Angle loss=4.23, IoU loss=2.29]
[Epoch 1]:   6%|▌         | 4/67 [00:35<05:24,  5.16s/it, Cls loss=0.895, Angle loss=4.23, IoU loss=2.29]
[Epoch 1]:   7%|▋         | 5/67 [00:36<04:27,  4.32s/it, Cls loss=0.895, Angle loss=4.23, IoU loss=2.29]
[Epoch 1]:   7%|▋         | 5/67 [00:36<04:27,  4.32s/it, Cls loss=0.9, Angle loss=3.51, IoU loss=2.75]  
[Epoch 1]:   7%|▋         | 5/67 [00:36<04:27,  4.32s/it, Cls loss=0.9, Angle loss=3.51, IoU loss=2.75]
[Epoch 1]:   9%|▉         | 6/67 [00:37<03:18,  3.25s/it, Cls loss=0.9, Angle loss=3.51, IoU loss=2.75]
[Epoch 1]:   9%|▉         | 6/67 [00:37<03:18,  3.25s/it, Cls loss=0.962, Angle loss=3.86, IoU loss=2.23]
[Epoch 1]:   9%|▉         | 6/67 [00:37<03:18,  3.25s/it, Cls loss=0.962, Angle loss=3.86, IoU loss=2.23]
[Epoch 1]:  10%|█         | 7/67 [00:38<02:33,  2.56s/it, Cls loss=0.962, Angle loss=3.86, IoU loss=2.23]
[Epoch 1]:  10%|█         | 7/67 [00:38<02:33,  2.56s/it, Cls loss=0.944, Angle loss=3.17, IoU loss=2.48]
[Epoch 1]:  10%|█         | 7/67 [00:39<02:33,  2.56s/it, Cls loss=0.944, Angle loss=3.17, IoU loss=2.48]
[Epoch 1]:  12%|█▏        | 8/67 [00:40<02:05,  2.12s/it, Cls loss=0.944, Angle loss=3.17, IoU loss=2.48]
[Epoch 1]:  12%|█▏        | 8/67 [00:40<02:05,  2.12s/it, Cls loss=0.934, Angle loss=2.32, IoU loss=2.26]
[Epoch 1]:  12%|█▏        | 8/67 [00:46<02:05,  2.12s/it, Cls loss=0.934, Angle loss=2.32, IoU loss=2.26]
[Epoch 1]:  13%|█▎        | 9/67 [00:47<03:34,  3.70s/it, Cls loss=0.934, Angle loss=2.32, IoU loss=2.26]
[Epoch 1]:  13%|█▎        | 9/67 [00:47<03:34,  3.70s/it, Cls loss=0.961, Angle loss=1.71, IoU loss=2.01]
[Epoch 1]:  13%|█▎        | 9/67 [00:47<03:34,  3.70s/it, Cls loss=0.961, Angle loss=1.71, IoU loss=2.01]
[Epoch 1]:  15%|█▍        | 10/67 [00:48<02:46,  2.92s/it, Cls loss=0.961, Angle loss=1.71, IoU loss=2.01]
